13    ROG Flow X13 GV301RE GH FHD,73799000,1024 SSD,32,AMD Ryzen 7 6800HS,13.0,NVIDIA GeForce RTX 3050Ti,4.0,1.3,WUXGA 1920x1200,62.0
14    ASUS VivoBook Pro N7400PC DH,51499000,1024 SSD,16,intel Core i7 11370H,14.0,NVIDIA GeForce RTX3050,4.0,1.45,2880x1800,63.0
14    Laptop ZenBook UM5401QA DH,53999000,1024 SSD,16,AMD Ryzen 7 5800H,14.0,Radeon Graphics,0.0,1.4,WQXGA 2880x1800,63.0
14    Laptop ZenBook UP5401EA DH Flip OLED,62999000,1024 SSD,16,intel Core i7 1165G7,14.0,intel Iris Xe,0.0,1.4,OLED 2880x1800,63.0
14    Laptop ZenBook UX3402ZA DH,62499000,1024 SSD,16,intel Core i7 1260P,14.0,Intel Iris Xᵉ Graphics,0.0,1.39,OLED 2880x1800,75.0
15    Asus ROG Strix G15 G513RM GH,65499000,1024 SSD,32,AMD Ryzen 7 6800H,15.0,NVIDIA GeForce RTX 3060,6.0,2.3,2K,90.0
15    ROG Strix G513RC A,49599000,1024 SSD,8,AMD Ryzen 7 6800H,15.0,NVIDIA GeForce RTX 3050,4.0,2.1,FHD 1920 x 1080,56.0
15    ROG Strix G513RC C,52899000,1024 SSD,16,AMD Ryzen 7 6800H,15.0,NVIDIA GeForce RTX 3050,4.0,2.1,FHD 1920 x 1080,56.0
15    ROG Strix G513RM Electro Punk DG,69699000,512 SSD,16,AMD Ryzen 9 6900HX,15.0,NVIDIA GeForce RTX 3060,6.0,2.3,2K,90.0
15    ROG Strix Scar 15 G533ZM DH 2K,79899000,1024 SSD,16,intel Core i9 12900H,15.0,NVIDIA GeForce RTX 3060 GDDR6,6.0,2.3,2K,90.0
15    ROG Strix Scar 15 G533ZMHF066,74499000,1024 SSD,16,intel Core i7 12700H,15.0,NVIDIA GeForce RTX 3060 GDDR6,6.0,2.3,FHD 1920 x 1080,90.0
15    TUF Gaming  FA507RC DG,46999000,512 SSD,16,AMD Ryzen 7 6800H,15.0,NVIDIA GeForce RTX 3050 GDDR6,4.0,2.2,FHD,56.0
15    TUF Gaming FA507RM DG,53499000,512 SSD,16,AMD Ryzen 7 6800H,15.0,NVIDIA GeForce RTX 3060 GDDR6,6.0,2.2,FHD,90.0
15    TUF Gaming FX507ZE DG,56499000,512 SSD,16,intel core i7 12700H,15.0,NVIDIA GeForce RTX 3050Ti,4.0,2.2,FHD 1920 x 1080,56.0
15    TUF Gaming FX507ZE GG,63499000,512 SSD,32,intel core i7 12700H,15.0,NVIDIA GeForce RTX 3050Ti,4.0,2.2,FHD 1920 x 1080,56.0
15    VivoBook K3502ZA BH,34499000,1024 SSD,8,intel Core i5 12500H,15.0,intel Iris Xe,0.0,1.8,OLED 2.8K,70.0
15    VivoBook K513EQ BC,37199000,512 SSD,8,intel Core i7 1165G7,15.0,NVIDIA GeForce MX350,2.0,1.8,FHD 1920 x 1080,42.0
15    VivoBook K513EQ DC,38299000,512 SSD,16,intel Core i7 1165G7,15.0,NVIDIA GeForce MX350,2.0,1.8,FHD 1920 x 1080,42.0
15    VivoBook K513EQ DH,40799000,1024 SSD,16,intel Core i7 1165G7,15.0,NVIDIA GeForce MX350,2.0,1.8,FHD 1920 x 1080,42.0
15    Vivobook Pro 15 K6500ZH BG,38299000,512 SSD,8,intel Core i5 12500H,15.0,NVIDIA GeForce GTX 1650,4.0,1.8,FHD 1920 x 1080,50.0
15    Vivobook Pro M6500QC MA023,46499000,1024 SSD,16,AMD Ryzen 7 5800H,15.0,NVIDIA GeForce RTX 3050,4.0,1.8,3K OLED 2880 x 1620,70.0
15    VivoBook R565EP DH,36999000,1024 SSD,16,intel Core i7 1165G7,15.0,NVIDIA GeForce MX330,2.0,1.8,FHD 1920 x 1080,37.0
15    VivoBook R565EP EJ629,34499000,512 SSD,16,intel Core i7 1165G7,15.0,NVIDIA GeForce MX330,2.0,1.8,FHD 1920 x 1080,37.0
15    VivoBook R565EP FH,34699000,1024 SSD,24,intel Core i5 1135G7,15.0,NVIDIA GeForce MX330,2.0,1.8,FHD 1920 x 1080,37.0
15   Vivobook Pro 15 OLED D3500QC DG,43699000,512 SSD,16,AMD Ryzen 7 5800H,15.0,NVIDIA GeForce RTX 3050,4.0,1.65,FHD OLED,63.0
16    ASUS VivoBook R1605ZA i7 DG,36499000,512 SSD,16,intel Core i7 1255U,16.0,Intel Iris Xᵉ Graphics,0.0,1.88,WUXGA 1920 x 1200,42.0
16    Laptop VivoBook K6602ZA DH,64999000,1024 SSD,16,intel Core i7 12700H,16.0,NVIDIA RTX3050 Ti,4.0,1.9,3200x2000,70.0
17    Laptop ZenBook 17 Fold UX9702AA DH,199999000,1024 SSD,16,intel Core i7 1250U,17.0,intel Iris Xe,0.0,1.5,OLED 2560x1920,75.0
17    ROG Strix G713RCHX019,57999000,1024 SSD,16,AMD Ryzen 7 6800H,17.0,NVIDIA GeForce RTX 3050,4.0,2.5,FHD 1920 x 1080,56.0
17    Vivobook K1703ZA DH,47499000,1024 SSD,16,intel Core i7 12700H,17.0,intel Iris X,0.0,2.1,1920x1080,50.0
17    Vivobook K1703ZA FH,48999000,1024 SSD,24,intel Core i7 12700H,17.0,intel Iris X,0.0,2.1,1920x1080,50.0
17   Laptop ROG Strix G713RM GH,76999000,1024 SSD,32,AMD Ryzen 9 6900HX,17.0,NVIDIA GeForce RTX 3060,6.0,2.5,FHD 1920 x 1080,90.0
17   Laptop ROG Strix G713RM KH071,70999000,1024 SSD,16,AMD Ryzen 9 6900HX,17.0,NVIDIA GeForce RTX 3060,6.0,2.5,FHD 1920 x 1080,90.0
17   Laptop ROG Strix G713RMKH070,68499000,1024 SSD,16,AMD Ryzen 7 6800H,17.0,NVIDIA GeForce RTX 3060,6.0,2.5,FHD 1920 x 1080,90.0
Asus TUF Dash F15 FX517ZE DH,55199000,1024 SSD,16,intel core i7 12650H,15.0,NVIDIA GeForce RTX 3050Ti,4.0,2.0,FHD 1920x1080,76.0
Laptop TUF Gaming FX507ZM DD,61499000,1024 SSD,16,intel core i7 12700H,15.0,NVIDIA GeForce RTX 3060,6.0,2.2,FHD 1920x1080,90.0
ROG Flow Z13 GZ301ZE DH,92499000,1024 SSD,16,intel Core i9 12900H,13.0,NVIDIA GeForce RTX 3050Ti,4.0,1.18,WUXGA 1920x1200,56.0
TUF Gaming FX507ZE GH,65899000,1024 SSD,32,intel core i7 12700H,15.0,NVIDIA GeForce RTX 3050Ti,4.0,2.2,FHD 1920 x 1080,56.0
TUF Gaming FX507ZE HN054,59899000,1024 SSD,16,intel core i7 12700H,15.0,NVIDIA GeForce RTX 3050Ti,4.0,2.2,FHD 1920 x 1080,56.0
TUF Gaming FX707ZR DH,66699000,1024 SSD,16,intel Core i7 12700H,17.0,NVIDIA GeForce RTX 3070,8.0,2.6,FHD 1920 x 1080,90.0
VivoBook Pro M7600QE L2003,53799000,1024 SSD,16,AMD Ryzen 7 5800H,16.0,NVIDIA GeForce RTX 3050Ti,4.0,1.95,4K OLED 3840 x 2400,96.0
VivoBook Pro M7600QEL2098,47599000,512 SSD,16,AMD Ryzen 5 5600H,16.0,NVIDIA GeForce RTX 3050Ti,4.0,1.95,4K OLED 3840 x 2400,96.0
